Date,Extrapolated
2020-03-14,85.050373810782
2020-03-15,100.81256387236267
2020-03-16,119.49592434631721
2020-03-17,141.64182902301295
2020-03-18,167.89198325158395
2020-03-19,199.0070181568356
2020-03-20,235.8885308795795
2020-03-21,279.60520948399056
2020-03-22,331.4237995339266
2020-03-23,392.8458096335778
2020-03-24,465.65101952149735
2020-03-25,551.9490514195793
2020-03-26,654.2404989814671
2020-03-27,775.489385128302
2020-03-28,919.2090483284309
2020-03-29,1089.5639459836914
2020-03-30,1291.4903248030114
2020-03-31,1530.8392547386604
2020-04-01,1814.5461710727582
2020-04-02,2150.831837348531
2020-04-03,2549.440552299158
2020-04-04,3021.9225031185933
2020-04-05,3581.968446614312
2020-04-06,4245.806416047929
2020-04-07,5032.671948741709
2020-04-08,5965.36545988529
2020-04-09,7070.9129131474
2020-04-10,8381.348931851708
2020-04-11,9934.645042344826
2020-04-12,11775.809946571593
2020-04-13,13958.193705634896
2020-04-14,16545.03362469337
2020-04-15,19611.286633149863
2020-04-16,23245.801255643586
2020-04-17,27553.892109428107
2020-04-18,32660.391527424024
2020-04-19,38713.26673154963
2020-04-20,45887.9073684612
2020-04-21,54392.20764442541
2020-04-22,64472.59032055315
2020-04-23,76421.14712120713
2020-04-24,90584.10245786881
2020-04-25,107371.84571547245
2020-04-26,127270.8227992797
2020-04-27,150857.63151477175
2020-04-28,178815.7292118602
2020-04-29,211955.23681835318
2020-04-30,251236.41310937016
