day,CoronaCases
1,580
2,845
3,1317
4,2015
5,2800
6,4581
7,6058
8,7813
9,9823
10,11950
11,14553
12,17391
13,20630
14,24545
15,28266
16,31439
17,34876
18,37552
19,40553
20,43099
21,45134
22,59287
23,64438
24,67100
25,69197
26,71329
27,73332
28,75184
29,75700
30,76677
31,77673
32,78651
33,79205
34,80087
35,80828
36,81820
37,83112
38,84615
39,86604
40,88585
41,90443
42,93016
43,95314
44,98425
45,102050
46,106099
47,109991
48,114381
49,118948
50,126214
51,134576
52,145483
53,156653
54,169593
55,182490
56,198238
57,218822
58,244933
59,275597
60,305036
61,337469
